Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Binary FPR,Binary FNR,ROC-AUC (Macro),PR-AUC (Macro),Train Time (s),Inf Latency (ms/1k),Total Params,Trainable Params,acc_mean,acc_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,fpr_mean,fnr_mean,roc_auc_mean,pr_auc_mean,train_time_mean,inf_time_mean,total_params_num
Transformer-only,0.6817 +/- 0.0031,0.4254 +/- 0.0115,0.5346 +/- 0.0121,0.4282 +/- 0.0051,0.7217 +/- 0.0023,0.4221 +/- 0.0007,0.0017 +/- 0.0011,0.9503 +/- 0.0012,0.4583 +/- 0.0089,88.3 +/- 0.3,10.74 +/- 0.23,"127,754","127,754",0.6816790555312636,0.0030750758494234,0.428211286882711,0.0050732633900347,0.7217293297203846,0.0022836332389337,0.4220810810810811,0.0017279919997646,0.9503224228372676,0.4583008194587145,88.25975688298543,10.739337264942243,127754
GraphSAGE-only,0.8349 +/- 0.0019,0.4677 +/- 0.0024,0.5157 +/- 0.0040,0.4752 +/- 0.0028,0.8437 +/- 0.0016,0.0740 +/- 0.0044,0.0106 +/- 0.0013,0.9628 +/- 0.0007,0.4989 +/- 0.0009,7.3 +/- 0.6,1.77 +/- 0.33,"48,330","48,330",0.8348596738408719,0.0018897346355367,0.4751996760727818,0.0027783610749361,0.8437418508822593,0.0016070470976199,0.074045045045045,0.010640018824083,0.9627918599188234,0.4989496582195045,7.30806843439738,1.771996116987226,48330
GraphSAGE + Transformer (Concat),0.8428 +/- 0.0046,0.4912 +/- 0.0045,0.5376 +/- 0.0026,0.4949 +/- 0.0039,0.8514 +/- 0.0039,0.0659 +/- 0.0081,0.0073 +/- 0.0007,0.9666 +/- 0.0006,0.5218 +/- 0.0012,90.9 +/- 0.2,11.05 +/- 0.09,"207,818","207,818",0.8427666844807202,0.0046479296614859,0.4948660453933116,0.0038693447275298,0.851425516848651,0.0038881368199642,0.0659189189189189,0.0072722727139033,0.966631072427062,0.5217910605336002,90.9005708694458,11.046525756307616,207818
TGCF-IDS (Proposed),0.8495 +/- 0.0014,0.5091 +/- 0.0059,0.5375 +/- 0.0040,0.5015 +/- 0.0026,0.8564 +/- 0.0013,0.0478 +/- 0.0032,0.0076 +/- 0.0004,0.9662 +/- 0.0007,0.5198 +/- 0.0021,92.2 +/- 0.1,11.25 +/- 0.07,"257,738","257,738",0.8494995870378469,0.0014262395358627,0.5015407684275116,0.0025985360868938,0.8563511316174758,0.0012990680221075,0.0477927927927928,0.007625224271302,0.9662151026174712,0.5198125759070992,92.19012347857158,11.245246516480409,257738
