Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Binary FPR,Binary FNR,ROC-AUC (Macro),PR-AUC (Macro),Train Time (s),Inf Latency (ms/1k),Total Params,Trainable Params,acc_mean,acc_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,fpr_mean,fnr_mean,roc_auc_mean,pr_auc_mean,train_time_mean,inf_time_mean,total_params_num
Random Forest,0.7624 +/- 0.0006,0.5800 +/- 0.0088,0.4885 +/- 0.0016,0.4610 +/- 0.0028,0.7745 +/- 0.0000,0.2447 +/- 0.0006,0.0230 +/- 0.0009,0.9573 +/- 0.0007,0.5521 +/- 0.0038,4.9 +/- 0.1,6.34 +/- 0.11,,,0.7624010105426807,0.000647960873942,0.4609974483451646,0.0028447971730611,0.7745318596360734,4.408357499954215e-05,0.2447387387387387,0.0230300891202682,0.9572655102633366,0.5521454528786384,4.880809942881267,6.3402173694775605,0
XGBoost,0.7710 +/- 0.0007,0.5412 +/- 0.0039,0.5435 +/- 0.0019,0.5005 +/- 0.0015,0.7800 +/- 0.0009,0.2382 +/- 0.0019,0.0218 +/- 0.0011,0.9641 +/- 0.0003,0.5806 +/- 0.0024,12.7 +/- 0.2,4.12 +/- 0.08,,,0.7709679508979902,0.0007053252437361,0.5005498365267744,0.0015327728569211,0.7799966403393653,0.0008855803422194,0.2381981981981982,0.0217506397246977,0.9641126264859446,0.5805967074194869,12.729995648066202,4.1174310219235934,0
