Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Binary FPR,Binary FNR,ROC-AUC (Macro),PR-AUC (Macro),Train Time (s),Inf Latency (ms/1k),Total Params,Trainable Params,acc_mean,acc_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,fpr_mean,fnr_mean,roc_auc_mean,pr_auc_mean,train_time_mean,inf_time_mean,total_params_num
MLP,0.6843 +/- 0.0007,0.4238 +/- 0.0064,0.4871 +/- 0.0014,0.4169 +/- 0.0015,0.7224 +/- 0.0005,0.4185 +/- 0.0033,0.0050 +/- 0.0009,0.9485 +/- 0.0014,0.4419 +/- 0.0034,3.7 +/- 0.2,0.96 +/- 0.08,"84,618","84,618",0.6842539960161297,0.0007055111369313,0.4169242015785482,0.0015482850638208,0.7223531877017993,0.0005424389017347,0.4184954954954955,0.0050295596929321,0.9484974783543524,0.4418911541170609,3.7065436045328775,0.9596686619673956,84618
BiLSTM,0.6872 +/- 0.0005,0.4344 +/- 0.0143,0.5139 +/- 0.0041,0.4284 +/- 0.0047,0.7255 +/- 0.0004,0.4227 +/- 0.0008,0.0027 +/- 0.0001,0.9551 +/- 0.0009,0.4761 +/- 0.0027,15.0 +/- 0.0,2.27 +/- 0.06,"309,450","309,450",0.6872095094657403,0.0005285308725426,0.4284237337499888,0.0047470864807672,0.7254666268193969,0.0004485975817004,0.4227297297297297,0.0027133150975028,0.9550887251964212,0.4761230098313631,15.013623555501304,2.26925073047366,309450
