Experiment,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Binary FPR,Binary FNR,Minority Recall (Rare 4),Minority Recall (All Attacks),ROC-AUC (Macro),PR-AUC (Macro),Train Time (s),Inf Latency (ms/1k),Total Params,Trainable Params,acc_mean,acc_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,minority_recall_mean,minority_recall_std,fpr_mean,fnr_mean,roc_auc_mean,pr_auc_mean,train_time_mean,inf_time_mean,total_params_num
A. GraphSAGE only,0.8184 +/- 0.0037,0.4565 +/- 0.0043,0.5181 +/- 0.0027,0.4656 +/- 0.0033,0.8308 +/- 0.0031,0.1078 +/- 0.0087,0.0092 +/- 0.0013,0.1405 +/- 0.0044,0.4765 +/- 0.0023,0.9613 +/- 0.0002,0.4972 +/- 0.0035,6.1 +/- 0.1,1.26 +/- 0.09,"48,330","48,330",0.8183573823057864,0.003669496370041,0.4655539733914882,0.0032625911727477,0.8307975316131109,0.0031436842902917,0.1404655704656633,0.0044145469302891,0.1078018018018018,0.009191446807259,0.9612954074199448,0.4971733523757398,6.078708266666581,1.2635451586238835,48330
B. Transformer only,0.6806 +/- 0.0046,0.4346 +/- 0.0152,0.5143 +/- 0.0205,0.4263 +/- 0.0090,0.7210 +/- 0.0027,0.4229 +/- 0.0013,0.0021 +/- 0.0014,0.2045 +/- 0.0353,0.5074 +/- 0.0229,0.9501 +/- 0.0013,0.4552 +/- 0.0080,87.8 +/- 0.2,10.50 +/- 0.04,"127,754","127,754",0.680553531231275,0.0046490721510718,0.4262819591180411,0.0089747134925536,0.7210114873113725,0.0027210770102391,0.2044611282032665,0.0353074415557645,0.4228738738738739,0.0020515309273802,0.9500519538636364,0.4551977379212006,87.76561436666664,10.496968371959978,127754
C. GraphSAGE + Transformer,0.8182 +/- 0.0045,0.5106 +/- 0.0218,0.5351 +/- 0.0035,0.4779 +/- 0.0083,0.8315 +/- 0.0037,0.1033 +/- 0.0044,0.0061 +/- 0.0008,0.1866 +/- 0.0087,0.4950 +/- 0.0040,0.9634 +/- 0.0009,0.5064 +/- 0.0120,90.4 +/- 0.1,11.02 +/- 0.13,"207,818","207,818",0.8182278255518307,0.0045229293975978,0.4779375945022705,0.0083133470488356,0.8314856705962882,0.0036782478282654,0.1866491971369901,0.0087034835746848,0.1033333333333333,0.0061104738374658,0.9634099647162891,0.5063556431763936,90.3852901666666,11.020369965505148,207818
D. Remove temporal edges,0.8258 +/- 0.0043,0.5111 +/- 0.0085,0.5463 +/- 0.0007,0.4985 +/- 0.0012,0.8380 +/- 0.0034,0.0988 +/- 0.0106,0.0069 +/- 0.0004,0.1940 +/- 0.0014,0.5068 +/- 0.0015,0.9637 +/- 0.0004,0.5242 +/- 0.0013,91.5 +/- 0.1,11.04 +/- 0.04,"257,738","257,738",0.8257502145783738,0.0042939807074903,0.4985403866049616,0.0012051342784366,0.8379678409407513,0.0034296575912303,0.1940009213757855,0.0013747486352039,0.0988288288288288,0.0068604958969381,0.963691468275936,0.5242444910852728,91.45672149999989,11.039756109412968,257738
E. Remove contrastive pretraining,0.8308 +/- 0.0026,0.5138 +/- 0.0078,0.5464 +/- 0.0027,0.4983 +/- 0.0024,0.8421 +/- 0.0021,0.0911 +/- 0.0064,0.0060 +/- 0.0006,0.1890 +/- 0.0066,0.5061 +/- 0.0036,0.9657 +/- 0.0002,0.5265 +/- 0.0005,91.2 +/- 0.1,11.00 +/- 0.03,"257,738","257,738",0.8307948306855172,0.0025994783105385,0.4983049551797194,0.0023741558901556,0.8421341452664661,0.0021184802794833,0.1889929224521348,0.006635338312383,0.0911441441441441,0.0060442954204535,0.9657059195249847,0.526467313641031,91.21589773333336,11.001019449705318,257738
F. Remove feature tokenizer,0.8458 +/- 0.0030,0.5123 +/- 0.0060,0.5816 +/- 0.0092,0.5151 +/- 0.0028,0.8554 +/- 0.0028,0.0649 +/- 0.0043,0.0061 +/- 0.0011,0.2652 +/- 0.0240,0.5424 +/- 0.0104,0.9672 +/- 0.0012,0.5443 +/- 0.0035,15.4 +/- 0.0,2.17 +/- 0.01,"252,554","252,554",0.8458234141443586,0.003046225346932,0.5151425360626866,0.0028155106773783,0.8554112374876719,0.0028467375355761,0.265153027731644,0.0239560661036421,0.0648648648648648,0.0060663548927909,0.9671751415816322,0.544293063894557,15.388147066666534,2.1653937715587745,252554
G. Replace learned fusion with concatenation,0.8357 +/- 0.0027,0.5051 +/- 0.0126,0.5425 +/- 0.0052,0.4925 +/- 0.0059,0.8456 +/- 0.0024,0.0717 +/- 0.0056,0.0061 +/- 0.0010,0.1906 +/- 0.0119,0.4996 +/- 0.0063,0.9649 +/- 0.0003,0.5120 +/- 0.0066,89.5 +/- 0.8,10.78 +/- 0.13,"207,818","207,818",0.8357341819300718,0.002736143675013,0.4925006620553553,0.0058572943263744,0.845605467234671,0.0024295272706873,0.1906380776041366,0.0118903232065129,0.0717027027027027,0.006139886467249,0.9649090452245812,0.5119926540375533,89.5364132333334,10.77617451294831,207818
H. Remove edge attributes,0.8235 +/- 0.0047,0.5136 +/- 0.0032,0.5466 +/- 0.0026,0.4967 +/- 0.0018,0.8362 +/- 0.0036,0.1049 +/- 0.0104,0.0072 +/- 0.0005,0.1932 +/- 0.0091,0.5079 +/- 0.0040,0.9637 +/- 0.0007,0.5257 +/- 0.0036,91.5 +/- 0.5,10.98 +/- 0.13,"257,738","257,738",0.8235113119240798,0.0046865131375412,0.4966789519978952,0.0017945334166682,0.8362200464883145,0.0036217310677254,0.1932238098750319,0.0090872285846486,0.1049459459459459,0.0072428600841201,0.9637117720940588,0.5257389913952732,91.45972216666662,10.980949893923215,257738
I. Full TGCF-IDS,0.8351 +/- 0.0040,0.5229 +/- 0.0044,0.5476 +/- 0.0010,0.5026 +/- 0.0025,0.8455 +/- 0.0032,0.0784 +/- 0.0100,0.0057 +/- 0.0001,0.1910 +/- 0.0037,0.5061 +/- 0.0015,0.9651 +/- 0.0003,0.5239 +/- 0.0029,90.1 +/- 0.8,10.82 +/- 0.18,"257,738","257,738",0.8351349819430274,0.0040177732492148,0.5025801097363375,0.0024837092723137,0.8454767655557528,0.0031541206683787,0.1909596840891723,0.0037373304680467,0.0784054054054054,0.0056545780758257,0.965081052103402,0.5239127027880558,90.11479309999989,10.815969489386148,257738
