Perturbation Mode,Perturbation Strength,Accuracy,Macro F1,Macro Recall,Macro Precision,Weighted F1,FPR (False Alarm Rate),FNR (Missed Attack Rate)
Feature Masking (Ratio),0.0,0.8644755380653938,0.5333680483375647,0.6183950148172027,0.5314111801887555,0.8717022200365435,0.0152702702702702,0.0041912997441101
Feature Masking (Ratio),0.1,0.844957003352281,0.49496800997879,0.580391472066239,0.4950959669199021,0.8544705166460485,0.0208378378378378,0.0070149122033
Feature Masking (Ratio),0.2,0.8275154253510179,0.4606579101047903,0.5370637513673783,0.4670986940609123,0.8387835490681351,0.0278648648648648,0.008845848407306
Feature Masking (Ratio),0.3,0.8101467230238546,0.4380214926672151,0.508614032411847,0.4469308982418119,0.8225224531529918,0.0368378378378378,0.0104782493602753
Feature Masking (Ratio),0.4,0.7934703396006413,0.4116742739162317,0.4743754296159821,0.4239918947986876,0.806285056886471,0.0469729729729729,0.0125518397599929
Feature Masking (Ratio),0.5,0.7783486372248943,0.3907087745438903,0.4466158366912819,0.4062442280063648,0.7922731162847622,0.0594864864864864,0.014338657019324
Numerical Noise (Gaussian Std),0.0,0.8644512461740271,0.5333427512548151,0.6183540627541523,0.5314910414370266,0.8716768204941574,0.0152702702702702,0.0041912997441101
Numerical Noise (Gaussian Std),0.05,0.8289122091046008,0.4329187008054098,0.5005152594543371,0.4516063052805441,0.8392035281844633,0.0243243243243243,0.0042574781611223
Numerical Noise (Gaussian Std),0.1,0.7975513773502405,0.392172374502635,0.4493965778373701,0.4079143364040877,0.8108445149281338,0.0498378378378378,0.004764846024883
Numerical Noise (Gaussian Std),0.2,0.7220400330369723,0.3410911328295812,0.3918377393558591,0.3516329984646995,0.750546364256496,0.125081081081081,0.009992940968852
Numerical Noise (Gaussian Std),0.3,0.6556502939318856,0.3032058406527935,0.3450408509188915,0.318997688637504,0.6960953540526488,0.1823783783783784,0.0267581399452925
Numerical Noise (Gaussian Std),0.5,0.5540494582908225,0.2513702296155967,0.2845164321889707,0.2819075267761902,0.5988765265528465,0.2444054054054054,0.0914585723109503
Random Edge Deletion (Ratio),0.0,0.8644633921197105,0.5333530299400278,0.6183705589600248,0.5314003436044469,0.8716947611836638,0.0152702702702702,0.0041912997441101
Random Edge Deletion (Ratio),0.1,0.8637710732157606,0.5337015412194602,0.6184673152550175,0.5304348979548766,0.8710931842865627,0.0162972972972972,0.0044780728844966
Random Edge Deletion (Ratio),0.2,0.8627508137783608,0.533827109486112,0.6209533629611514,0.5290299734855808,0.870097586734843,0.0182702702702702,0.0050736786376069
Random Edge Deletion (Ratio),0.3,0.8611354030024778,0.5304643395508024,0.6168668066260764,0.5251023636677634,0.8684700615267643,0.0198648648648648,0.0064634253948645
Random Edge Deletion (Ratio),0.4,0.8585847544089783,0.5292360046737105,0.6155915334868075,0.5233019797410864,0.8661123154137932,0.0234864864864864,0.0083164210712079
Random Edge Deletion (Ratio),0.5,0.8537749599183793,0.5265840240954968,0.6105178375931556,0.5186577049737979,0.8614261692341088,0.0295945945945945,0.0123533045089561
Random Edge Addition (Ratio),0.0,0.8644633921197105,0.5333529796692903,0.6183705589600248,0.5313941472242165,0.8716917235483553,0.0152702702702702,0.0041912997441101
Random Edge Addition (Ratio),0.1,0.8616212408298111,0.5300587275490435,0.6146868746259588,0.5251519416389109,0.8695634289404075,0.0222972972972973,0.002514779846466
Random Edge Addition (Ratio),0.2,0.8577831219938784,0.5302842996070143,0.6181692950998865,0.5217551539746133,0.8663460186351754,0.0306756756756756,0.0017868172593311
Random Edge Addition (Ratio),0.3,0.8541150463975125,0.5251888538526822,0.6117313719815207,0.5147115817449632,0.863381271088376,0.0384054054054054,0.001102973616871
Random Edge Addition (Ratio),0.4,0.8494995870378468,0.5218707026323494,0.6063717652314508,0.5096002488608409,0.8594666657948334,0.0492702702702702,0.001102973616871
Random Edge Addition (Ratio),0.5,0.8422606034105815,0.5215156318890386,0.6096661399587944,0.5062787683786165,0.8534811750817649,0.0645135135135135,0.0008162004764846
Temporal Attribute Jitter (Std),0.0,0.8644633921197105,0.5333522713977952,0.61837851861133,0.531402940399712,0.8716914357335684,0.0152702702702702,0.0041912997441101
Temporal Attribute Jitter (Std),0.1,0.8642204732060438,0.5335234997990597,0.6191549094868634,0.5315045875372282,0.8714556224284876,0.0155135135135135,0.0042354186887849
Temporal Attribute Jitter (Std),0.2,0.8635645921391439,0.5332876121242086,0.6187870022434011,0.5304585951179323,0.8708281905143227,0.0163783783783783,0.0044780728844966
Temporal Attribute Jitter (Std),0.3,0.8629572948549774,0.5321042890866468,0.6130128997251638,0.5288492274199597,0.8701964297304838,0.0173243243243243,0.0049854407482573
Temporal Attribute Jitter (Std),0.5,0.8602851868046446,0.5311386348030088,0.6078033207622865,0.5242404235016213,0.8674967881152408,0.021,0.0068163769522633
Temporal Attribute Jitter (Std),1.0,0.8439610358062479,0.5002684361683332,0.5494121814605117,0.4962254282020116,0.8514998557348415,0.0323513513513513,0.0204491308567899
Missing Feature Simulation (Channel Drop),0.0,0.8644633921197105,0.5333529796692903,0.6183705589600248,0.5313941472242165,0.8716917235483553,0.0152702702702702,0.0041912997441101
Missing Feature Simulation (Channel Drop),0.1,0.8404994412864986,0.4947755785672562,0.5667617918015881,0.4918977669860397,0.8508091368850638,0.0357837837837837,0.0104782493602753
Missing Feature Simulation (Channel Drop),0.2,0.8265194578049847,0.4697933044756436,0.534155101999612,0.4717114432427874,0.835977322204627,0.0365945945945946,0.0218829965587223
Missing Feature Simulation (Channel Drop),0.3,0.7780206966914444,0.4295390643477346,0.4946846241987421,0.4287430256197405,0.7927779164578749,0.106,0.0356039883525986
Missing Feature Simulation (Channel Drop),0.4,0.7362143516494194,0.3906920437740684,0.4524067621185177,0.394393631036814,0.7538575805417564,0.1387837837837837,0.0615018088767316
Missing Feature Simulation (Channel Drop),0.5,0.6929504931253947,0.3549805872900343,0.4091463632285487,0.3592618294911717,0.7138487539356333,0.1787567567567567,0.0847304332480367
