Evaluation Mode,Dataset / Split,Model State,Accuracy,Macro F1,Weighted F1,Macro Precision,Macro Recall,FPR (False Alarm Rate),FNR (Missed Attack Rate),Transfer Drop (Macro F1)
UNSW-NB15 (In-Domain Reference),"UNSW-NB15 Final Test (82,332 flows)",Frozen (Trained on UNSW Train),0.8644633921197105,0.5333530299400278,0.8716947611836638,0.5314003436044469,0.6183705589600248,0.0152702702702702,0.0041912997441101,0.0
CIC-IDS2017 (Zero-Shot Transfer),"CIC-IDS2017 External Test (20,000 flows)",Frozen (Zero Gradient Updates),0.2721,0.0832190679083715,0.3022723419487745,0.1016131633410689,0.1115497726704682,0.6306434114996244,0.5417238368467008,0.4501339620316562
CIC-IDS2017 (Feature-Aligned Fine-Tuned),"CIC-IDS2017 External Test (20,000 flows)",Adapted Heads (5 Calibration Snapshots),0.72075,0.2526817572466504,0.6572260620043663,0.2435753198145798,0.2669880687271288,0.0741049820579153,0.5560683547461645,0.2806712726933773
