Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Macro FPR,Macro FNR,Binary FPR,Binary FNR,Acc_mean,Acc_std,MacroF1_mean,MacroF1_std,WeightedF1_mean,WeightedF1_std
Logistic Regression,0.6551 ± 0.0000,0.3181 ± 0.0000,0.3319 ± 0.0000,0.3027 ± 0.0000,0.6709 ± 0.0000,0.0397 ± 0.0000,0.6681 ± 0.0000,0.3978 ± 0.0000,0.0401 ± 0.0000,0.6550672885390857,0.0,0.3027292537262583,0.0,0.6708753366645203,0.0
Random Forest,0.7624 ± 0.0006,0.5800 ± 0.0088,0.4885 ± 0.0016,0.4610 ± 0.0028,0.7745 ± 0.0000,0.0270 ± 0.0000,0.5115 ± 0.0016,0.2447 ± 0.0006,0.0230 ± 0.0009,0.7624010105426807,0.0006479608739420133,0.4609974483451646,0.0028447971730611865,0.7745318596360734,4.4083574999542146e-05
