Model,Class ID,Class Name,Precision,Recall,F1 Score,f1_mean,f1_std
Transformer-only,3,DoS,0.3271 +/- 0.0015,0.6822 +/- 0.0070,0.4422 +/- 0.0019,0.4421904369905602,0.0018901841056634268
Transformer-only,4,Exploits,0.7686 +/- 0.0162,0.5847 +/- 0.0184,0.6638 +/- 0.0117,0.663833431939899,0.011669915992712335
Transformer-only,5,Fuzzers,0.2465 +/- 0.0131,0.7091 +/- 0.0631,0.3657 +/- 0.0229,0.36574136506094623,0.022858547380496426
Transformer-only,6,Generic,0.9982 +/- 0.0001,0.9624 +/- 0.0001,0.9800 +/- 0.0001,0.9799816562775637,9.561520842982402e-05
Transformer-only,7,Reconnaissance,0.5798 +/- 0.0161,0.7874 +/- 0.0145,0.6676 +/- 0.0107,0.6676215412317755,0.010663447434112851
Transformer-only,8,Shellcode,0.1914 +/- 0.0349,0.5494 +/- 0.0761,0.2787 +/- 0.0300,0.27867688169605753,0.030019814320343074
Transformer-only,9,Worms,0.0908 +/- 0.0072,0.4924 +/- 0.1119,0.1514 +/- 0.0061,0.15140909702761904,0.006109474164430942
GraphSAGE-only,0,Normal,0.9861 +/- 0.0017,0.9260 +/- 0.0044,0.9551 +/- 0.0028,0.9550849201539088,0.0028435046736103578
GraphSAGE-only,1,Analysis,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0,0.0
GraphSAGE-only,2,Backdoor,0.0667 +/- 0.0471,0.0011 +/- 0.0008,0.0022 +/- 0.0016,0.0022484541877459247,0.0015898972033424339
GraphSAGE-only,3,DoS,0.3251 +/- 0.0003,0.6542 +/- 0.0083,0.4344 +/- 0.0017,0.43436772589009554,0.0017318103262429921
GraphSAGE-only,4,Exploits,0.7760 +/- 0.0066,0.5942 +/- 0.0124,0.6729 +/- 0.0057,0.6728815375740839,0.005680143276392843
GraphSAGE-only,5,Fuzzers,0.5683 +/- 0.0101,0.6875 +/- 0.0079,0.6222 +/- 0.0090,0.6221932621175942,0.009015432624511634
GraphSAGE-only,6,Generic,0.9985 +/- 0.0004,0.9608 +/- 0.0008,0.9793 +/- 0.0003,0.9793047544407744,0.0003492181663630707
GraphSAGE-only,7,Reconnaissance,0.6575 +/- 0.0162,0.7656 +/- 0.0204,0.7071 +/- 0.0077,0.7070592137412492,0.007707045195173929
GraphSAGE-only,8,Shellcode,0.2668 +/- 0.0135,0.5520 +/- 0.0175,0.3596 +/- 0.0147,0.35961070176430737,0.014706561139094724
GraphSAGE-only,9,Worms,0.0317 +/- 0.0297,0.0152 +/- 0.0107,0.0192 +/- 0.0144,0.019246190858059342,0.014360198897154015
GraphSAGE + Transformer (Concat),0,Normal,0.9906 +/- 0.0009,0.9341 +/- 0.0081,0.9615 +/- 0.0042,0.9614698829004311,0.0042088637276486655
GraphSAGE + Transformer (Concat),1,Analysis,0.0018 +/- 0.0025,0.0010 +/- 0.0014,0.0013 +/- 0.0018,0.0012662234884457107,0.0017907104303552961
GraphSAGE + Transformer (Concat),2,Backdoor,0.1074 +/- 0.0319,0.0051 +/- 0.0028,0.0098 +/- 0.0053,0.009781856164242807,0.005257478157130949
GraphSAGE + Transformer (Concat),3,DoS,0.3284 +/- 0.0004,0.6882 +/- 0.0030,0.4447 +/- 0.0009,0.4446530861786196,0.0009441108275587
GraphSAGE + Transformer (Concat),4,Exploits,0.7992 +/- 0.0038,0.5852 +/- 0.0087,0.6756 +/- 0.0049,0.675619504168503,0.004890561414101658
GraphSAGE + Transformer (Concat),5,Fuzzers,0.5979 +/- 0.0254,0.7138 +/- 0.0104,0.6506 +/- 0.0194,0.6505920695374273,0.01937483124878236
GraphSAGE + Transformer (Concat),6,Generic,0.9993 +/- 0.0002,0.9623 +/- 0.0002,0.9804 +/- 0.0002,0.9804369720817497,0.00015500570475390158
GraphSAGE + Transformer (Concat),7,Reconnaissance,0.6924 +/- 0.0070,0.7964 +/- 0.0129,0.7407 +/- 0.0026,0.7406565462546834,0.0025984475941403518
GraphSAGE + Transformer (Concat),8,Shellcode,0.2712 +/- 0.0105,0.5767 +/- 0.0169,0.3685 +/- 0.0060,0.3685105372983221,0.006032880478909949
GraphSAGE + Transformer (Concat),9,Worms,0.1238 +/- 0.0215,0.1136 +/- 0.0186,0.1157 +/- 0.0091,0.11567377586069176,0.009139348944659122
SAGEConv + Transformer + Gated (No Pretrain),0,Normal,0.9902 +/- 0.0016,0.9302 +/- 0.0084,0.9593 +/- 0.0052,0.9592799137744308,0.005197878809280588
