Perturbation Mode,Perturbation Strength,Accuracy,Macro F1,Macro Recall,Macro Precision,Weighted F1,FPR (False Alarm Rate),FNR (Missed Attack Rate)
Feature Masking (Ratio),0.0,0.8644755380653938,0.5333680483375647,0.6183950148172027,0.5314111801887555,0.8717022200365435,0.01527027027027027,0.004191299744110121
Feature Masking (Ratio),0.1,0.844957003352281,0.49496800997879,0.580391472066239,0.4950959669199021,0.8544705166460485,0.02083783783783784,0.007014912203300097
Feature Masking (Ratio),0.2,0.8275154253510179,0.46065791010479035,0.5370637513673783,0.4670986940609123,0.8387835490681351,0.027864864864864863,0.008845848407306097
Feature Masking (Ratio),0.3,0.8101467230238546,0.43802149266721513,0.508614032411847,0.4469308982418119,0.8225224531529918,0.03683783783783784,0.010478249360275303
Feature Masking (Ratio),0.4,0.7934703396006413,0.4116742739162317,0.4743754296159821,0.4239918947986876,0.806285056886471,0.046972972972972975,0.01255183975999294
Feature Masking (Ratio),0.5,0.7783486372248943,0.39070877454389036,0.4466158366912819,0.4062442280063648,0.7922731162847622,0.05948648648648649,0.014338657019324097
Numerical Noise (Gaussian Std),0.0,0.8644512461740271,0.5333427512548151,0.6183540627541523,0.5314910414370266,0.8716768204941574,0.01527027027027027,0.004191299744110121
Numerical Noise (Gaussian Std),0.05,0.8289122091046008,0.4329187008054098,0.5005152594543371,0.4516063052805441,0.8392035281844633,0.024324324324324326,0.004257478161122386
Numerical Noise (Gaussian Std),0.1,0.7975513773502405,0.392172374502635,0.4493965778373701,0.40791433640408775,0.8108445149281338,0.04983783783783784,0.004764846024883085
Numerical Noise (Gaussian Std),0.2,0.7220400330369723,0.34109113282958126,0.3918377393558591,0.3516329984646995,0.750546364256496,0.12508108108108107,0.009992940968852025
Numerical Noise (Gaussian Std),0.3,0.6556502939318856,0.3032058406527935,0.3450408509188915,0.31899768863750405,0.6960953540526488,0.1823783783783784,0.026758139945292508
Numerical Noise (Gaussian Std),0.5,0.5540494582908225,0.2513702296155967,0.2845164321889707,0.2819075267761902,0.5988765265528465,0.2444054054054054,0.09145857231095032
