epoch,contrastive_loss,lr
1,7.184042356230996,0.001
2,6.653652288696983,0.0009891830623632338
3,6.392492619427768,0.0009572050015330873
4,6.2814426530491225,0.0009054634122155989
5,6.228793209249323,0.0008362196501476348
6,6.169355804269964,0.0007524999999999999
7,6.127406001091003,0.0006579634122155989
8,6.065362832762978,0.0005567415893174885
9,6.05197134884921,0.00045325841068251166
10,6.033310760151256,0.00035203658778440114
11,6.015896786342967,0.00025750000000000013
12,5.977914376692339,0.00017378034985236532
13,6.0218353921716865,0.00010453658778440104
14,5.980258919975975,5.2794998466912506e-05
15,5.970629551193931,2.081693763676618e-05
