Seed,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,ROC-AUC,FPR,FNR,Train Time (s),Inf Latency (ms/1k)
42,0.8552932031287956,0.5042238527470542,0.5474731977362092,0.5005163818014424,0.8618374406312913,0.9677018990300589,0.035405405405405405,0.0067281390629136155,125.38863549999951,14.888817227805982
123,0.8573458679492786,0.5028572847666845,0.5471689172373424,0.5017397032772389,0.8633980706048692,0.9685906797847673,0.03205405405405405,0.007434042177711109,126.82497150000017,14.264890929408674
2024,0.8535320410047126,0.5049846799981742,0.5509545739212836,0.502868337984188,0.8604343398842502,0.9688051786789089,0.0414054054054054,0.007235506926674314,1306.2187370000001,10.92271170383809
2025,0.856884322013312,0.5040938480151304,0.5464916950863283,0.5024229716757951,0.8630949199773088,0.9684829854367608,0.033945945945945945,0.006176652254478073,89.42693669999971,10.928975368022076
2026,0.8534105815478793,0.5066946105933964,0.544777126579907,0.4995324494312049,0.8600804316952081,0.9679811234290895,0.039135135135135134,0.0058016412247419045,90.96290779999981,11.114558130502143
