Experiment,Class ID,Class Name,Precision,Recall,F1 Score,f1_mean,f1_std,recall_mean,recall_std
C. GraphSAGE + Transformer,8,Shellcode,0.1993 +/- 0.0429,0.6376 +/- 0.0245,0.3002 +/- 0.0457,0.30018290029710254,0.045737536381744166,0.6375661375661376,0.024533382263216164
C. GraphSAGE + Transformer,9,Worms,0.5190 +/- 0.1994,0.0985 +/- 0.0107,0.1613 +/- 0.0100,0.1612757491246818,0.010005802785040757,0.09848484848484847,0.01071373910888708
D. Remove temporal edges,0,Normal,0.9908 +/- 0.0004,0.9012 +/- 0.0106,0.9438 +/- 0.0058,0.9438110669903429,0.005764853619901564,0.9011711711711712,0.010637743840987098
D. Remove temporal edges,1,Analysis,0.0039 +/- 0.0016,0.0034 +/- 0.0014,0.0036 +/- 0.0015,0.0036471773938629368,0.0014794151545112456,0.0034465780403742006,0.0013926278309927083
D. Remove temporal edges,2,Backdoor,0.1351 +/- 0.0515,0.0103 +/- 0.0042,0.0191 +/- 0.0077,0.019109497893207303,0.00774072737406974,0.010291595197255575,0.004201526145425691
D. Remove temporal edges,3,DoS,0.3314 +/- 0.0004,0.7479 +/- 0.0071,0.4593 +/- 0.0016,0.4592760665229593,0.001631213345376309,0.7478601124969431,0.007141221965623467
D. Remove temporal edges,4,Exploits,0.8391 +/- 0.0062,0.5425 +/- 0.0034,0.6589 +/- 0.0006,0.6589167032191395,0.0005755635686902807,0.5424901185770751,0.0034001602083112087
D. Remove temporal edges,5,Fuzzers,0.5253 +/- 0.0198,0.7086 +/- 0.0044,0.6030 +/- 0.0117,0.6030113906526674,0.011712195289597698,0.7085670295831958,0.004435267751033928
D. Remove temporal edges,6,Generic,0.9994 +/- 0.0001,0.9601 +/- 0.0006,0.9793 +/- 0.0003,0.9793332531154015,0.0002969457041733791,0.9600798403193612,0.0005630288962078983
D. Remove temporal edges,7,Reconnaissance,0.6571 +/- 0.0077,0.8264 +/- 0.0035,0.7320 +/- 0.0037,0.7320397962357762,0.0036511941092682715,0.8263729977116704,0.0035265526332774683
D. Remove temporal edges,8,Shellcode,0.2634 +/- 0.0045,0.6032 +/- 0.0043,0.3666 +/- 0.0041,0.3666133519203068,0.004122709800039801,0.6031746031746031,0.004320087729776328
D. Remove temporal edges,9,Worms,0.3656 +/- 0.0770,0.1591 +/- 0.0000,0.2196 +/- 0.0141,0.21964556210595268,0.01405376368267177,0.1590909090909091,0.0
E. Remove contrastive pretraining,0,Normal,0.9919 +/- 0.0007,0.9089 +/- 0.0064,0.9486 +/- 0.0034,0.9485603449811588,0.0033847763068218305,0.9088558558558558,0.006389680524595555
E. Remove contrastive pretraining,1,Analysis,0.0006 +/- 0.0009,0.0005 +/- 0.0007,0.0005 +/- 0.0008,0.0005482456140350877,0.0007753363828799863,0.0004923682914820286,0.0006963139154963541
E. Remove contrastive pretraining,2,Backdoor,0.1441 +/- 0.0435,0.0080 +/- 0.0040,0.0151 +/- 0.0075,0.015137286996072549,0.0074855898126822895,0.008004574042309892,0.004042920418447955
E. Remove contrastive pretraining,3,DoS,0.3325 +/- 0.0005,0.7527 +/- 0.0005,0.4612 +/- 0.0006,0.46120073270086076,0.0005883226394930533,0.7526697644085759,0.00046114406533726894
E. Remove contrastive pretraining,4,Exploits,0.8341 +/- 0.0028,0.5517 +/- 0.0086,0.6641 +/- 0.0054,0.6641154175130869,0.005358036621419246,0.5517427236794825,0.00859660796641769
E. Remove contrastive pretraining,5,Fuzzers,0.5502 +/- 0.0188,0.7053 +/- 0.0027,0.6179 +/- 0.0111,0.617927052014622,0.011076266928080118,0.7052677884086661,0.0027117184660591428
E. Remove contrastive pretraining,6,Generic,0.9994 +/- 0.0001,0.9614 +/- 0.0006,0.9800 +/- 0.0002,0.9800224304904751,0.000223368599430346,0.9614046243795595,0.0005512686674200976
E. Remove contrastive pretraining,7,Reconnaissance,0.6584 +/- 0.0098,0.8277 +/- 0.0018,0.7333 +/- 0.0058,0.7333369973140916,0.005784770253194405,0.8277078565980167,0.0017684245796140067
E. Remove contrastive pretraining,8,Shellcode,0.2591 +/- 0.0043,0.6111 +/- 0.0099,0.3638 +/- 0.0037,0.3638227417809213,0.003693476617963318,0.6111111111111112,0.009898564515274943
E. Remove contrastive pretraining,9,Worms,0.3678 +/- 0.0743,0.1364 +/- 0.0186,0.1984 +/- 0.0295,0.19837830239186938,0.029516132247007863,0.13636363636363635,0.018556740475630138
F. Remove feature tokenizer,0,Normal,0.9921 +/- 0.0014,0.9351 +/- 0.0043,0.9628 +/- 0.0029,0.9627781502732181,0.002923663188729075,0.9351351351351352,0.004275228049141885
F. Remove feature tokenizer,1,Analysis,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0,0.0,0.0,0.0
F. Remove feature tokenizer,2,Backdoor,0.1933 +/- 0.0370,0.0263 +/- 0.0043,0.0459 +/- 0.0066,0.04586835870657297,0.006596256453009791,0.026300743281875358,0.004278624799055393
F. Remove feature tokenizer,3,DoS,0.3321 +/- 0.0003,0.7469 +/- 0.0071,0.4598 +/- 0.0016,0.4597802791959779,0.0015520268074758101,0.7468818782098313,0.007107642365937028
F. Remove feature tokenizer,4,Exploits,0.8262 +/- 0.0048,0.5687 +/- 0.0054,0.6736 +/- 0.0049,0.6736336895817775,0.00492344243600469,0.5686609174751468,0.005395021556794179
F. Remove feature tokenizer,5,Fuzzers,0.6118 +/- 0.0190,0.7008 +/- 0.0073,0.6531 +/- 0.0108,0.6530789805282587,0.010842035885468383,0.7008138128230507,0.007314764829348277
F. Remove feature tokenizer,6,Generic,0.9997 +/- 0.0000,0.9608 +/- 0.0004,0.9799 +/- 0.0002,0.9798785334805578,0.00022786945564631604,0.9608393831805415,0.000449646620435508
F. Remove feature tokenizer,7,Reconnaissance,0.7543 +/- 0.0045,0.8433 +/- 0.0023,0.7964 +/- 0.0016,0.7963513231632392,0.001592402436885202,0.8433447749809306,0.0022683785761575884
F. Remove feature tokenizer,8,Shellcode,0.2835 +/- 0.0061,0.7919 +/- 0.0045,0.4175 +/- 0.0072,0.4174674265869056,0.00720695750861372,0.7918871252204586,0.004496489870893104
F. Remove feature tokenizer,9,Worms,0.1297 +/- 0.0049,0.2424 +/- 0.0952,0.1626 +/- 0.0319,0.16258861911035824,0.03194771261101978,0.24242424242424243,0.09522579613618586
G. Replace learned fusion with concatenation,0,Normal,0.9920 +/- 0.0012,0.9283 +/- 0.0056,0.9591 +/- 0.0024,0.9590654963579551,0.002439965276350363,0.9282972972972973,0.00561954223496954
G. Replace learned fusion with concatenation,1,Analysis,0.0056 +/- 0.0024,0.0034 +/- 0.0014,0.0043 +/- 0.0017,0.004268260344566951,0.0017347865382666779,0.0034465780403742006,0.0013926278309927083
G. Replace learned fusion with concatenation,2,Backdoor,0.1443 +/- 0.0379,0.0069 +/- 0.0014,0.0131 +/- 0.0027,0.0130952763940948,0.0027098399575390688,0.0068610634648370505,0.001400508715141897
G. Replace learned fusion with concatenation,3,DoS,0.3315 +/- 0.0001,0.7404 +/- 0.0049,0.4579 +/- 0.0010,0.45793514557475473,0.0009627018969598308,0.7404418358196789,0.004868019443004343
G. Replace learned fusion with concatenation,4,Exploits,0.8150 +/- 0.0152,0.5599 +/- 0.0229,0.6633 +/- 0.0130,0.6633267223019881,0.013022646947529264,0.5599173553719008,0.022892780720468686
G. Replace learned fusion with concatenation,5,Fuzzers,0.5716 +/- 0.0098,0.6518 +/- 0.0453,0.6086 +/- 0.0253,0.6086263333726002,0.025253345749985046,0.6518200813812823,0.045273261912305664
G. Replace learned fusion with concatenation,6,Generic,0.9995 +/- 0.0000,0.9608 +/- 0.0008,0.9798 +/- 0.0004,0.9797802663758821,0.00039659996963844926,0.9607863918181336,0.0007654760807595206
G. Replace learned fusion with concatenation,7,Reconnaissance,0.6586 +/- 0.0176,0.8209 +/- 0.0111,0.7307 +/- 0.0093,0.730657998005105,0.009272860546618536,0.8209382151029748,0.011125004477704918
G. Replace learned fusion with concatenation,8,Shellcode,0.2318 +/- 0.0335,0.6235 +/- 0.0303,0.3357 +/- 0.0317,0.33569542436669453,0.03171497903753036,0.6234567901234568,0.03026631799247007
