Model Architecture,Parameters,Model Size (MB),GPU Peak Memory (MB),CPU Memory (MB),Total Training Time (s),Epoch Time (s/epoch),Inference Latency (ms/1k flows),Throughput (flows/sec),Accuracy,Macro F1,Weighted F1
MLP,84618,0.32279205322265625,43.375,1377.53125,0.8469031999993604,0.28230106666645344,0.9218189768654687,1084811.687648671,0.6837924500801632,0.3295302908180737,0.6943422548346817
Transformer,122826,0.46854400634765625,1122.0966796875,1605.92578125,17.55878930000472,5.85292976666824,10.472834377897042,95485.13457927913,0.6226376135645921,0.2500202867712598,0.6321681298440753
GraphSAGE,43402,0.16556549072265625,83.8515625,1623.1171875,1.1593893999961438,0.3864631333320479,1.2485679930077769,800917.535608949,0.8108268959821212,0.3615061520607294,0.7935456139728976
GraphSAGE + Transformer,198794,0.7583389282226562,1122.8388671875,1622.6953125,18.001051799998095,6.000350599999365,10.826570470777938,92365.35269401387,0.6788733420784142,0.28846567047073657,0.6862303859913339
TGCF-IDS,248714,0.9487686157226562,1133.8154296875,1678.43359375,18.293521899999178,6.0978406333330595,11.021634358385041,90730.64551803244,0.6875576932419958,0.31771509776308055,0.6962650840654077
